"BugId","GT","Prof 1","Prof 2","Prof 3","Prof 4","Prof 5","Prof 6","Prof 7","Prof 8","Prof 9","Prof 10","Prof 11","Prof 12"
"42120","22","54","32","24","0.0","0.0","0.0","45","48","54","17","3","0.0"
"50572","59","48","9","24","0.0","0.0","0.0","40","0.0","59","74","9","0.0"
"50534","59","11","28","24","0.0","0.0","0.0","3","0.0","61","24","47","0.0"
"45729","73","63","14","15","0.0","0.0","0.0","47","0.0","61","65","68","0.0"
"71747","59","67","46","3","0.0","0.0","0.0","42","0.0","28","43","24","0.0"
"50631","56","56","13","51","0.0","0.0","0.0","3","0.0","17","4","52","0.0"
"40725","33","44","19","15","30","0.0","0.0","9","0.0","56","58","74","0.0"
"64362","75","14","8","56","0.0","0.0","0.0","7","0.0","17","67","15","0.0"
"42138","15","14","54","23","0.0","0.0","0.0","38","31","28","75","61","0.0"
"48849","65","26","14","26","0.0","0.0","0.0","28","0.0","15","14","71","0.0"
"39024","15","1","31","63","26","0.0","0.0","69","0.0","34","55","45","0.0"
"40060","33","5","45","76","26","0.0","0.0","23","0.0","23","37","65","0.0"
"50438","71","69","11","76","0.0","0.0","0.0","67","0.0","48","49","17","0.0"
"39772","56","14","19","13","1","0.0","0.0","40","0.0","26","65","45","0.0"
"42185","3","40","76","13","0.0","0.0","0.0","29","24","23","24","24","0.0"
"49811","59","45","18","20","0.0","0.0","0.0","10","0.0","37","31","71","0.0"
"41090","28","45","48","30","0.0","0.0","0.0","2","56","28","64","69","0.0"
"63832","57","32","15","59","0.0","0.0","0.0","11","0.0","10","62","40","0.0"
"40916","57","32","52","54","0.0","0.0","0.0","30","2","35","33","49","0.0"
"51085","57","1","57","4","0.0","0.0","0.0","26","0.0","2","32","75","0.0"
