1, Dynamic, Cost, 316492.09798800497,0.4052551984648991
2, Dynamic, Cost, 2045248.378890882,1.6693306170125046
3, Dynamic, Cost, 2317090.773147529,1.7542461373241474
4, Dynamic, Cost, 3830957.4748784723,0.9873290812058471
5, Dynamic, Cost, 3021421.128763889,0.9894685068271912
6, Dynamic, Cost, 2106443.762274722,0.9435742622228747
7, Dynamic, Cost, 1631211.8175850695,0.34568611070327415
8, Dynamic, Cost, 3061815.719010732,0.9332801350756128
9, Dynamic, Cost, 1806894.7511993055,0.8259885479371606
10, Dynamic, Cost, 2106503.8942555557,0.9684667449713698
11, Dynamic, Cost, 111351.09766666665,0.29376978417266186
12, Dynamic, Cost, 2180796.321761363,1.2054399647628837
13, Dynamic, Cost, 3176578.5601666663,0.9675093525179854
14, Dynamic, Cost, 2020918.3010833336,1.0748712230215827
15, Dynamic, Cost, 2676461.15875,0.656131654676259
16, Dynamic, Cost, 1785962.010292425,1.0262517985611508
17, Dynamic, Cost, 3729242.317302778,0.9369496402877697
18, Dynamic, Cost, 2381527.8818305554,0.9786474820143883
19, Dynamic, Cost, 2706298.194869444,1.1395539568345323
20, Dynamic, Cost, 2879774.655084596,1.0135035971223019
21, Dynamic, Cost, 1422382.1504444438,1.1044172661870504
22, Dynamic, Cost, 1230385.0412777779,0.4388776978417266
23, Dynamic, Cost, 1354684.753025,0.9199496402877697
24, Dynamic, Cost, 2785556.319202779,0.9447553956834531
25, Dynamic, Cost, 2328472.6722083334,0.8336474820143884
26, Dynamic, Cost, 1255089.1489300502,0.9572014388489207
27, Dynamic, Cost, 1531680.7964722223,1.0556115107913666
28, Dynamic, Cost, 2800823.816261111,0.884841726618705
29, Dynamic, Cost, 1731350.1171353536,0.8893381294964027
30, Dynamic, Cost, 2380468.0496888887,1.152884892086331
31, Dynamic, Cost, 1352218.2084500003,1.028863309352518
32, Dynamic, Cost, 2271164.0305739897,0.7886474820143884
33, Dynamic, Cost, 1415813.554159091,1.099525179856115
34, Dynamic, Cost, 13700.233333333332,0.05755395683453238
35, Dynamic, Cost, 2750257.9471679856,1.4521976255151487
36, Dynamic, Cost, 2192270.046177256,1.0023108500842346
37, Dynamic, Cost, 1355962.1350055672,1.7129558731047196
38, Dynamic, Cost, 1538986.2043468058,1.2559193525728618
39, Dynamic, Cost, 1183691.9253027365,1.2250607142661158
40, Dynamic, Cost, 1233641.1000025002,1.6734789473684208
41, Dynamic, Cost, 2047734.5518700005,1.258542105263158
42, Dynamic, Cost, 1077949.33210125,1.7490421052631577
43, Dynamic, Cost, 1486953.3073150008,1.2391263157894739
44, Dynamic, Cost, 1095739.3123512499,1.3203736842105263
45, Dynamic, Cost, 1503878.3805850002,1.4640684210526316
46, Dynamic, Cost, 1088967.63331125,0.7968578947368419
47, Dynamic, Cost, 1705785.4917249996,1.6352631578947368
48, Dynamic, Cost, 1377522.4328250003,1.1732631578947368
49, Dynamic, Cost, 653024.8329499998,1.5543157894736845
50, Dynamic, Cost, 2053244.65675,1.312157894736842
51, Dynamic, Cost, 1633946.1518625005,0.9710526315789472
52, Dynamic, Cost, 1483098.0289999999,1.5663157894736839
53, Dynamic, Cost, 1426049.3548000003,1.436736842105263
54, Dynamic, Cost, 1157643.960025,1.253578947368421
