1, Dynamic, Cost, 2.2455341969786544E9,0.7759497055078357
2, Dynamic, Cost, 1.6006437950119047E9,0.934995393678735
3, Dynamic, Cost, 5.294190568315017E7,0.5981628107044736
4, Dynamic, Cost, 8.392836152991454E7,0.48807136721044
5, Dynamic, Cost, 1478730.5555555555,0.23372470917828733
6, Dynamic, Cost, 1.1007052165584415E8,0.6934936017945253
7, Dynamic, Cost, 2.383277026190477E7,0.31713937351669985
8, Dynamic, Cost, 3.5103720222222224E7,0.42637107362726323
9, Dynamic, Cost, 2.2341515509920635E9,0.4983429586493491
10, Dynamic, Cost, 5876248.650793651,0.23258091970203484
11, Dynamic, Cost, 1.8411458417549208E7,0.5771928262373337
12, Dynamic, Cost, 4.555823056082143E7,0.49427868385241913
13, Dynamic, Cost, 4.3756327423916054E8,0.37062485236026904
14, Dynamic, Cost, 1.08837672727854E9,0.5035634639376879
15, Dynamic, Cost, 5.7388318573525414E7,0.5674133179979916
16, Dynamic, Cost, 1.6379345886049874E9,0.49108708109317883
17, Dynamic, Cost, 8597893.2328135,0.346545081998398
18, Dynamic, Cost, 1.8270299000796027E7,0.49294151000722203
19, Dynamic, Cost, 369380.4844333335,0.038461538461538464
20, Dynamic, Cost, 2.5796102494520736E9,0.4800932187655844
21, Dynamic, Cost, 1.1634549017201194E8,0.372938026019211
22, Dynamic, Cost, 6.880050579746144E8,0.466490531290763
23, Dynamic, Cost, 1.4103756820201582E8,0.4614617359188055
24, Dynamic, Cost, 1.8624950359674197E8,0.3051727364331202
25, Dynamic, Cost, 1.7585363077844283E8,0.3083327203199307
26, Dynamic, Cost, 2.0001961923677473E9,0.30837780013352784
27, Dynamic, Cost, 2.925199683778072E8,0.3744315543278238
28, Dynamic, Cost, 1.892164755239811E8,0.288375360556187
29, Dynamic, Cost, 7.200369691070143E8,0.08545136801216444
30, Dynamic, Cost, 4.381985984595086E9,0.09387484300934633
31, Dynamic, Cost, 3.1517054422184987E9,0.10299196565679689
32, Dynamic, Cost, 5.0258687484871435E8,0.10434868387127369
33, Dynamic, Cost, 3.41883710739383E9,0.08878751761675827
34, Dynamic, Cost, 1.5629702392026432E9,0.09658653451243059
35, Dynamic, Cost, 1.4747239007769005E9,0.10256323615221331
36, Dynamic, Cost, 365181.73435714294,0.006622516556291391
37, Dynamic, Cost, 4.1142518320006776E9,0.09368715342337926
38, Dynamic, Cost, 1.6891521580860586E9,0.10193214017900795
39, Dynamic, Cost, 3.4695052217609925E9,0.07253024591928788
40, Dynamic, Cost, 1.2764179235945432E9,0.08971161786710054
41, Dynamic, Cost, 1.3221926472594E9,0.08971161786710054
42, Dynamic, Cost, 4.379031419058705E9,0.036191535230806544
43, Dynamic, Cost, 2.9086889144287977E9,0.09830230384100687
44, Dynamic, Cost, 2.340152654470858E9,0.0811209318931942
45, Dynamic, Cost, 5.516235623436992E9,0.08971161786710054
46, Dynamic, Cost, 6.502139151642177E9,0.08541627488014737
47, Dynamic, Cost, 4.0526610099330373E9,0.04700348042702686
